                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     19,                 1.2938,                0.58045,                 1.7324,                 1.2136,                0.78503,                0.61676,                0.75202,                0.50935,                0.78503,                0.61676,                0.75202,                0.46153,                 1.2842,                 0.7629,                 1.9244,                 1.1714,               0.082185,              0.0011852,              0.0011852
                     20,                 1.1423,                0.42164,                 1.2803,                0.95941,                0.71462,                    0.5,                0.57515,                0.43204,                0.71462,                    0.5,                0.57515,                 0.3786,                  1.256,                0.75923,                 1.9138,                 1.1664,               0.081208,               0.001208,               0.001208
                     21,                 1.3565,                0.60962,                 1.4447,                 1.1925,                0.80583,                0.69582,                 0.7787,                0.60877,                0.80583,                0.69582,                 0.7787,                0.53403,                 1.1608,                0.71997,                 1.6115,                  1.103,               0.080227,              0.0012268,              0.0012268
                     22,                 1.1507,                 0.5333,                 1.1866,                 1.0194,                0.79585,                0.65284,                0.73762,                 0.5629,                0.79585,                0.65284,                0.73762,                 0.4887,                 1.1353,                0.71332,                 1.5007,                 1.0846,               0.079242,              0.0012417,              0.0012417
                     23,                 1.3708,                0.61492,                 1.2806,                  1.198,                0.75439,                0.66667,                0.75282,                0.57504,                0.75439,                0.66667,                0.75282,                 0.5268,                 1.0562,                0.68024,                 1.3802,                 1.0603,               0.078253,              0.0012526,              0.0012526
                     24,                 1.0887,                0.52398,                 1.0376,                 1.0063,                      1,                0.65292,                0.78683,                0.57365,                      1,                0.65292,                0.78683,                 0.5414,                 1.0301,                 0.6479,                 1.3743,                 1.0462,                0.07726,              0.0012595,              0.0012595
                     25,                  1.258,                0.77045,                  1.273,                0.98292,                      1,                0.80452,                0.83543,                0.67134,                      1,                0.80452,                0.83543,                0.57693,                 1.0063,                0.63351,                 1.1484,                 1.0377,               0.076263,              0.0012625,              0.0012625
                     26,                 1.3655,                0.64166,                 1.2525,                 1.1647,                0.94118,                0.83333,                0.83544,                0.61059,                0.94118,                0.83333,                0.83544,                0.55569,                 1.1188,                0.65694,                 1.0901,                 1.0746,               0.075262,              0.0012615,              0.0012615
                     27,                 1.3418,                0.69839,                 1.4209,                 1.0859,                      1,                0.74401,                0.83546,                0.59646,                      1,                0.74401,                0.83546,                0.55531,                 1.1672,                0.66519,                 1.2068,                 1.0778,               0.074257,              0.0012566,              0.0012566
                     28,                 1.2569,                0.62574,                 1.2503,                 1.0572,                  0.813,                0.83333,                0.80711,                0.53515,                  0.813,                0.83333,                0.80711,                0.50938,                  1.329,                0.68618,                 1.0815,                 1.1473,               0.073248,              0.0012477,              0.0012477
                     29,                 1.1934,                0.43349,                 1.0919,                0.92878,                0.81723,                0.83333,                0.80713,                0.55522,                0.81723,                0.83333,                0.80713,                0.51793,                 1.3437,                0.67768,                 1.0755,                 1.1568,               0.072235,              0.0012348,              0.0012348
                     30,                0.97923,                0.32875,                0.96458,                 0.9584,                0.81898,                0.83333,                 0.7788,                 0.5261,                0.81898,                0.83333,                 0.7788,                0.49071,                 1.4045,                0.67668,                 1.0597,                 1.2025,               0.071218,               0.001218,               0.001218
                     31,                 1.2046,                0.92993,                 1.1181,                 1.1165,                0.95673,                0.83333,                0.83549,                0.52241,                0.95673,                0.83333,                0.83858,                0.52888,                 1.3633,                 0.6812,                0.99118,                 1.1982,               0.070197,              0.0011972,              0.0011972
                     32,                 1.0092,                 0.4312,                 1.1186,                 1.0111,                0.96748,                0.83333,                0.83934,                0.52191,                0.96748,                0.83333,                0.83934,                0.52886,                 1.3428,                0.67958,                0.93685,                 1.1909,               0.069172,              0.0011725,              0.0011725
                     33,                 1.1644,                0.36964,                 1.3201,                 1.1039,                0.82271,                0.83333,                0.82587,                0.51089,                0.82271,                0.83333,                0.82587,                0.48026,                 1.2684,                0.66691,                 1.1414,                 1.1427,               0.068144,              0.0011438,              0.0011438
                     34,                 1.1845,                0.40972,                 1.0811,                 1.0963,                0.97292,                0.66667,                0.88243,                0.52119,                0.97292,                0.66667,                0.88243,                 0.5137,                 1.3141,                0.66621,                  1.227,                 1.1212,               0.067111,              0.0011111,              0.0011111
                     35,                0.98815,                0.35466,                0.88053,                0.96525,                0.96615,                0.66667,                 0.9125,                0.54101,                0.96615,                0.66667,                 0.9125,                0.48734,                 1.3435,                0.66946,                 1.1792,                 1.1467,               0.066075,              0.0010745,              0.0010745
                     36,                0.89746,                0.78512,                0.79258,                0.89833,                      1,                0.80818,                0.94167,                0.59818,                      1,                0.80818,                0.94167,                0.55236,                 1.2166,                 0.6692,                 1.1429,                  1.082,               0.065034,              0.0010339,              0.0010339
                     37,                 1.1715,                0.53697,                 1.1004,                  1.012,                      1,                0.80559,                  0.955,                0.57548,                      1,                0.80559,                  0.955,                 0.5455,                  1.197,                0.67201,                 1.0796,                 1.0828,               0.063989,             0.00098938,             0.00098938
                     38,                 1.1683,                0.49152,                0.99823,                 1.0773,                      1,                0.81336,                  0.955,                0.60156,                      1,                0.81336,                  0.955,                0.54643,                 1.1397,                0.68001,                 1.0506,                 1.0602,               0.062941,             0.00094088,             0.00094088
                     39,                  0.941,                0.40776,                0.72957,                0.89135,                      1,                0.82135,                0.97214,                0.58964,                      1,                0.82135,                0.97214,                0.49155,                 1.1438,                0.68263,                0.97777,                 1.0548,               0.061888,             0.00088842,             0.00088842
                     40,                0.91105,                0.46835,                 1.0294,                0.93361,                0.99403,                0.83333,                0.97214,                0.65233,                0.99403,                0.83333,                0.97214,                0.54404,                 1.1347,                0.70275,                  1.045,                 1.0469,               0.060832,               0.000832,               0.000832
                     41,                  1.332,                0.59988,                 1.3153,                 1.0658,                      1,                0.80591,                  0.995,                0.65485,                      1,                0.80591,                  0.995,                0.51953,                 1.1151,                 0.7313,                 1.0924,                 1.0389,               0.059772,             0.00077162,             0.00077162
                     42,                0.99642,                  0.396,                 1.3534,                 1.0659,                      1,                0.81057,                  0.995,                0.70639,                      1,                0.81057,                  0.995,                0.54373,                 1.0426,                0.73117,                 1.0922,                 1.0284,               0.058707,             0.00070728,             0.00070728
                     43,                 0.7569,                0.35813,                0.82249,                 0.9814,                      1,                0.88351,                  0.995,                0.69418,                      1,                0.88351,                  0.995,                0.55864,                 0.9988,                0.73925,                 1.0274,                 1.0258,               0.057639,             0.00063898,             0.00063898
                     44,                0.98554,                0.25114,                 1.3774,                 0.9529,                      1,                0.94386,                  0.995,                0.74792,                      1,                0.94386,                  0.995,                0.55867,                0.97529,                0.75767,                0.87309,                  1.022,               0.056567,             0.00056672,             0.00056672
                     45,                0.90619,                0.36459,                0.96899,                   1.07,                      1,                0.94972,                  0.995,                0.72697,                      1,                0.94972,                  0.995,                0.57905,                0.95175,                0.75039,                0.86929,                 1.0119,                0.05549,              0.0004905,              0.0004905
                     46,                0.88637,                0.46365,                  1.079,                0.99954,                      1,                0.95564,                  0.995,                0.74796,                      1,                0.95564,                  0.995,                0.59762,                0.94174,                0.74623,                0.84911,                  1.005,                0.05441,             0.00041032,             0.00041032
                     47,                0.95442,                0.47861,                0.95299,                 1.0004,                      1,                0.96919,                  0.995,                0.74795,                      1,                0.96919,                  0.995,                0.59761,                0.92706,                0.73561,                0.76974,                 1.0012,               0.053326,             0.00032618,             0.00032618
                     48,                 1.0069,                0.32778,                0.85144,                0.92641,                      1,                0.96764,                  0.995,                0.74794,                      1,                0.96764,                  0.995,                0.61885,                  0.931,                0.72563,                0.75955,                0.99527,               0.052238,             0.00023808,             0.00023808
                     49,                0.75305,                0.39969,                0.69505,                0.88628,                0.97408,                0.83333,                0.97214,                0.74451,                0.97408,                0.83333,                0.97214,                0.62095,                0.91967,                0.71559,                0.71272,                0.99128,               0.051146,             0.00014602,             0.00014602
                     50,                      1,                0.96779,                  0.995,                0.74794,                      1,                0.96779,                  0.995,                0.61885,                0.93022,                0.72628,                0.76201,                0.99485
