                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 1.4267,                0.83111,                 3.8317,                 1.3868,             0.00083333,                0.16667,             0.00074052,             0.00051837,             0.00083333,                0.16667,             0.00074052,             0.00051837,                 1.6854,                 1.1958,                 3.8498,                 1.7088,                    0.1,                      0,                      0
                      1,                 1.6183,                 0.7546,                 3.9272,                 1.3349,             0.00083333,                0.16667,             0.00073143,             0.00043886,             0.00083333,                0.16667,             0.00073143,               0.000512,                 1.7283,                 1.2005,                 3.8594,                 1.7247,               0.099098,              9.802e-05,              9.802e-05
                      2,                 1.8448,                 1.0595,                 3.8862,                 1.4899,             0.00083333,                0.16667,             0.00071044,             0.00042627,             0.00083333,                0.16667,             0.00071044,             0.00049731,                 1.7712,                 1.2044,                 3.8735,                 1.7418,               0.098192,             0.00019208,             0.00019208
                      3,                 1.4417,                0.82632,                 4.2355,                 1.3625,             0.00083333,                0.16667,             0.00068193,             0.00034097,             0.00083333,                0.16667,             0.00068193,             0.00047735,                 1.7859,                 1.2081,                 3.8854,                 1.7539,               0.097282,             0.00028218,             0.00028218
                      4,                 1.3053,                 0.6592,                 3.8149,                 1.2014,             0.00083333,                0.16667,             0.00066713,             0.00033357,             0.00083333,                0.16667,             0.00066713,             0.00046699,                 1.7837,                 1.2038,                 3.8911,                 1.7651,               0.096368,             0.00036832,             0.00036832
                      5,                 1.5091,                 0.9513,                 3.7053,                 1.2957,             0.00083333,                0.16667,             0.00063807,             0.00025523,             0.00083333,                0.16667,             0.00063807,             0.00038284,                 1.7433,                 1.1773,                 3.8871,                 1.7556,               0.095451,              0.0004505,              0.0004505
                      6,                 1.1563,                 0.7002,                 3.7847,                 1.1674,             0.00083333,                0.16667,             0.00065472,             0.00026189,             0.00083333,                0.16667,             0.00065472,             0.00039283,                 1.7231,                 1.1456,                 3.8294,                 1.7429,               0.094529,             0.00052872,             0.00052872
                      7,                 1.5393,                0.83455,                 3.5597,                 1.3047,              0.0016667,                0.33333,              0.0012007,             0.00056349,              0.0016667,                0.33333,              0.0012007,             0.00059189,                 1.7134,                 1.1174,                 3.8131,                  1.712,               0.093603,             0.00060298,             0.00060298
                      8,                 1.4523,                0.80229,                 3.3844,                 1.3819,              0.0033333,                0.66667,              0.0030308,              0.0015904,              0.0033333,                0.66667,              0.0030308,               0.001692,                 1.7279,                 1.0882,                 3.7264,                  1.674,               0.092673,             0.00067328,             0.00067328
                      9,                 1.6943,                0.85702,                 3.2833,                 1.3396,              0.0033333,                0.66667,              0.0065655,              0.0039901,              0.0033333,                0.66667,              0.0065655,              0.0039822,                 1.7165,                 1.0296,                 3.6181,                 1.6362,                0.09174,             0.00073962,             0.00073962
                     10,                 1.4449,                0.63735,                 2.7171,                 1.1499,              0.0041667,                0.83333,              0.0093899,              0.0058387,              0.0041667,                0.83333,              0.0093899,              0.0053497,                 1.6598,                0.97501,                 3.4465,                 1.5545,               0.090802,               0.000802,               0.000802
                     11,                 1.4745,                0.70437,                 2.3078,                 1.2105,              0.0041667,                0.83333,               0.015982,               0.010099,              0.0041667,                0.83333,               0.015982,              0.0098266,                 1.6236,                0.93423,                 3.3249,                 1.5042,                0.08986,             0.00086042,             0.00086042
                     12,                 1.2023,                 0.6824,                 2.1319,                 1.0622,                0.20623,                0.16667,               0.067894,               0.047743,                0.20623,                0.16667,               0.067894,                 0.0392,                 1.5194,                0.88423,                 2.8981,                 1.4002,               0.088915,             0.00091488,             0.00091488
                     13,                 1.7908,                0.78329,                  2.243,                 1.4068,                0.19513,                0.16667,               0.066745,               0.046519,                0.19513,                0.16667,               0.066745,                0.03855,                 1.5356,                0.88598,                 2.9003,                 1.4036,               0.087965,             0.00096538,             0.00096538
                     14,                 1.5379,                0.81983,                 2.8187,                 1.2604,                0.46175,                0.16667,                0.22876,                0.16217,                0.46175,                0.16667,                0.22924,                0.13583,                 1.3781,                 0.8551,                 2.5648,                 1.3438,               0.087012,              0.0010119,              0.0010119
                     15,                 1.5119,                0.99631,                 1.7496,                 1.1869,                0.62207,                0.33333,                0.31639,                0.23814,                0.62207,                0.33333,                0.31639,                0.20332,                 1.2037,                0.82643,                 2.3347,                 1.2454,               0.086055,              0.0010545,              0.0010545
                     16,                 1.7053,                0.68284,                 2.2698,                   1.36,                0.79032,                0.33333,                0.38975,                0.30697,                0.79032,                0.33333,                0.38975,                 0.2454,                 1.1677,                0.79824,                 2.2198,                 1.2067,               0.085093,              0.0010931,              0.0010931
                     17,                  1.127,                0.66787,                 1.3224,                 1.0736,                0.60658,                0.33333,                0.44191,                0.34524,                0.60658,                0.33333,                0.44191,                0.28451,                 1.1312,                0.76251,                 2.1395,                 1.1658,               0.084128,              0.0011278,              0.0011278
                     18,                 1.6331,                 1.0095,                 1.8217,                 1.1767,                0.73856,                0.47712,                0.56312,                0.37895,                0.73856,                0.47712,                0.56312,                0.34485,                 1.2843,                0.77165,                 2.1284,                 1.2014,               0.083158,              0.0011585,              0.0011585
