                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     23,                 1.4787,                0.67006,                 1.6459,                 1.1465,                0.78858,                0.80952,                0.83766,                0.48451,                0.78858,                0.80952,                0.83722,                0.43593,                 1.4715,                0.70681,                 1.1332,                 1.1566,               0.005644,               0.005644,               0.005644
                     24,                 1.2989,                0.62954,                 1.1949,                 1.0617,                0.78858,                0.80952,                0.83766,                0.48451,                0.78858,                0.80952,                0.83722,                0.43593,                 1.4715,                0.70681,                 1.1332,                 1.1566,               0.005446,               0.005446,               0.005446
                     25,                 1.4498,                0.47761,                 1.4653,                 1.0583,                0.78858,                0.80952,                0.83766,                0.48451,                0.78858,                0.80952,                0.83722,                0.43593,                 1.4715,                0.70681,                 1.1332,                 1.1566,               0.005248,               0.005248,               0.005248
                     26,                 1.4149,                0.77596,                 1.5384,                 1.1185,                0.78669,                0.70251,                 0.8114,                0.46647,                0.76525,                0.69841,                0.78206,                0.41002,                 1.4912,                0.70645,                 1.2803,                  1.172,                0.00505,                0.00505,                0.00505
                     27,                 1.3649,                0.63037,                 1.4137,                 1.0653,                0.78669,                0.70251,                 0.8114,                0.46647,                0.76525,                0.69841,                0.78206,                0.41002,                 1.4912,                0.70645,                 1.2803,                  1.172,               0.004852,               0.004852,               0.004852
                     28,                 1.2565,                0.58543,                 1.5029,                0.95469,                0.78669,                0.70251,                 0.8114,                0.46647,                0.76525,                0.69841,                0.78206,                0.41002,                 1.4912,                0.70645,                 1.2803,                  1.172,               0.004654,               0.004654,               0.004654
                     29,                 1.4124,                0.60891,                 1.5007,                 0.9602,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,               0.004456,               0.004456,               0.004456
                     30,                 1.2302,                0.50326,                0.90303,                 0.9642,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,               0.004258,               0.004258,               0.004258
                     31,                 1.3169,                0.60579,                  1.079,                0.99417,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,                0.00406,                0.00406,                0.00406
                     32,                 1.3331,                0.61547,                 1.0967,                 1.0035,                0.89566,                0.68254,                0.82127,                0.48492,                0.87412,                0.66667,                0.80944,                0.42407,                 1.4376,                0.74479,                0.93421,                 1.1732,               0.003862,               0.003862,               0.003862
